x, y
15, 11
5, 28
24, 6
7, 2
11, 24
1, 14
3, 25
26, 0
0, 9
4, 25
12, 20
4, 16
22, 23
21, 27
28, 29
25, 20
24, 13
13, 8
8, 29
11, 8
8, 18
6, 16
23, 11
0, 23
3, 14
29, 0
21, 28
25, 10
22, 24
22, 6
19, 17
27, 14
1, 11
10, 10
12, 24
24, 10
7, 10
21, 0
18, 6
29, 10
20, 20
20, 25
29, 2
25, 21
29, 22
5, 7
26, 13
12, 23
6, 4
22, 3
24, 8
16, 20
23, 3
24, 28
1, 6
6, 14
20, 24
7, 7
25, 12
22, 5
20, 7
6, 5
1, 26
24, 16
13, 17
17, 29
1, 16
18, 11
23, 24
21, 3
0, 19
0, 15
4, 17
26, 14
0, 16
14, 13
9, 13
3, 0
12, 18
5, 29
0, 14
27, 24
26, 19
3, 2
2, 17
1, 9
2, 1
21, 26
8, 23
20, 13
29, 5
23, 29
27, 23
21, 18
9, 11
10, 8
2, 5
24, 3
28, 22
15, 26
